[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_080132_Crosbee_Mark_60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
749,10629,0.010629,[1]
750,10620,0.01062,[0]
751,10789,0.010789,[1]
752,10619,0.010619,[0]
753,10851,0.010851,[1]
754,11204,0.011204,[0]
755,11177,0.011177,[1]
756,11159,0.011159,[0]
757,11337,0.011337,[1]
758,11524,0.011524,[0]
759,11168,0.011168,[1]
760,10826,0.010826,[0]
761,10905,0.010905,[1]
762,11353,0.011353,[0]
763,11225,0.011225,[1]
764,11454,0.011454,[0]
765,11552,0.011552,[1]
766,11147,0.011147,[0]
767,10342,0.010342,[1]
768,9906,0.009906,[0]
769,9837,0.009837,[1]
770,9676,0.009676,[0]
771,9829,0.009829,[1]
772,10175,0.010175,[0]
773,10306,0.010306,[1]
774,10042,0.010042,[0]
775,10435,0.010435,[1]
776,10619,0.010619,[0]
777,10342,0.010342,[1]
778,9791,0.009791,[0]
779,9743,0.009743,[1]
780,9481,0.009481,[0]
781,9314,0.009314,[1]
782,9376,0.009376,[0]
783,9568,0.009568,[1]
784,9981,0.009981,[0]
785,9767,0.009767,[1]
786,10074,0.010074,[0]
787,9807,0.009807,[1]
788,9396,0.009396,[0]
789,8921,0.008921,[1]
790,8600,0.0086,[0]
791,8350,0.00835,[1]
792,8021,0.008021,[0]
793,8146,0.008146,[1]
794,8518,0.008518,[0]
795,8610,0.00861,[1]
796,8715,0.008715,[0]
797,8943,0.008943,[1]
