[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Pope,Ben,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_084830_Pope_Ben_80SR-TC
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
657,9070,0.00907,[1]
658,8967,0.008967,[0]
659,8885,0.008885,[1]
660,8762,0.008762,[0]
661,8669,0.008669,[1]
662,8436,0.008436,[0]
663,8257,0.008257,[1]
664,8112,0.008112,[0]
665,8032,0.008032,[1]
666,7952,0.007952,[0]
667,7978,0.007978,[1]
668,8231,0.008231,[0]
669,8477,0.008477,[1]
670,8748,0.008748,[0]
671,9180,0.00918,[1]
672,9359,0.009359,[0]
673,9269,0.009269,[1]
674,9337,0.009337,[0]
675,9653,0.009653,[1]
676,9628,0.009628,[0]
677,9538,0.009538,[1]
678,9573,0.009573,[0]
679,9412,0.009412,[1]
680,9392,0.009392,[0]
681,9726,0.009726,[1]
682,9866,0.009866,[0]
683,9896,0.009896,[1]
684,9821,0.009821,[0]
685,9902,0.009902,[1]
686,10221,0.010221,[0]
687,10276,0.010276,[1]
688,10361,0.010361,[0]
689,10373,0.010373,[1]
690,10573,0.010573,[0]
691,10661,0.010661,[1]
692,10547,0.010547,[0]
693,10348,0.010348,[1]
694,10249,0.010249,[0]
695,10230,0.01023,[1]
696,10374,0.010374,[0]
697,10166,0.010166,[1]
698,10167,0.010167,[0]
699,10305,0.010305,[1]
700,10522,0.010522,[0]
701,10838,0.010838,[1]
702,10775,0.010775,[0]
703,10846,0.010846,[1]
704,10926,0.010926,[0]
705,10658,0.010658,[1]
706,10677,0.010677,[0]
707,10384,0.010384,[1]
708,10150,0.01015,[0]
709,10251,0.010251,[1]
710,10194,0.010194,[0]
711,10186,0.010186,[1]
712,10264,0.010264,[0]
713,10382,0.010382,[1]
714,10451,0.010451,[0]
715,10659,0.010659,[1]
716,11114,0.011114,[0]
717,10970,0.01097,[1]
718,10886,0.010886,[0]
719,10625,0.010625,[1]
720,10443,0.010443,[0]
721,10007,0.010007,[1]
722,9886,0.009886,[0]
723,9787,0.009787,[1]
724,9527,0.009527,[0]
725,9619,0.009619,[1]
726,9601,0.009601,[0]
727,9404,0.009404,[1]
728,9409,0.009409,[0]
729,9399,0.009399,[1]
730,9355,0.009355,[0]
731,8921,0.008921,[1]
732,8746,0.008746,[0]
733,8682,0.008682,[1]
734,8456,0.008456,[0]
735,8207,0.008207,[1]
736,8359,0.008359,[0]
737,8245,0.008245,[1]
738,8312,0.008312,[0]
739,8302,0.008302,[1]
740,8444,0.008444,[0]
741,8578,0.008578,[1]
742,8757,0.008757,[0]
743,8825,0.008825,[1]
744,8668,0.008668,[0]
745,9043,0.009043,[1]
746,9306,0.009306,[0]
747,9166,0.009166,[1]
748,9307,0.009307,[0]
749,9381,0.009381,[1]
750,9132,0.009132,[0]
751,9162,0.009162,[1]
752,9087,0.009087,[0]
753,8870,0.00887,[1]
754,8846,0.008846,[0]
755,9136,0.009136,[1]
756,9067,0.009067,[0]
757,8987,0.008987,[1]
758,9286,0.009286,[0]
759,9217,0.009217,[1]
760,9166,0.009166,[0]
761,9591,0.009591,[1]
762,9681,0.009681,[0]
763,9360,0.00936,[1]
764,9320,0.00932,[0]
765,9598,0.009598,[1]
766,9847,0.009847,[0]
767,9897,0.009897,[1]
768,10027,0.010027,[0]
769,10055,0.010055,[1]
770,9882,0.009882,[0]
771,9906,0.009906,[1]
772,10053,0.010053,[0]
773,9842,0.009842,[1]
774,10120,0.01012,[0]
775,10122,0.010122,[1]
776,10112,0.010112,[0]
777,10159,0.010159,[1]
778,10242,0.010242,[0]
779,10158,0.010158,[1]
780,10362,0.010362,[0]
781,10138,0.010138,[1]
782,10055,0.010055,[0]
783,10006,0.010006,[1]
784,10113,0.010113,[0]
785,9965,0.009965,[1]
786,10094,0.010094,[0]
787,10115,0.010115,[1]
788,9914,0.009914,[0]
789,9848,0.009848,[1]
790,9715,0.009715,[0]
791,9469,0.009469,[1]
792,9352,0.009352,[0]
793,9265,0.009265,[1]
794,9172,0.009172,[0]
795,9336,0.009336,[1]
796,9793,0.009793,[0]
797,9997,0.009997,[1]
